,deal_name,cidade,deal_id,código_inep,cidade_encontrada,link_qedu
1207,Colégio Elvira Brandão,São Paulo,1447075769,35107700,"SÃO PAULO
 ",http://www.qedu.org.br/escola/211052-colegio-elvira-brandao/censo-escolar
1208,Externato Santo Antonio,São Paulo,1447075768,35109162,"SÃO CAETANO DO SUL
 ",http://www.qedu.org.br/escola/197826-externato-santo-antonio/sobre
1209,Colégio Dante Alighieri,São Paulo,1447070837,35103524,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190585-colegio-dante-alighieri/sobre
1210,Colégio Batista Brasileiro,São Paulo,1447063157,35102751,"SÃO PAULO
 ",http://qedu.org.br/escola/200398-colegio-batista-brasileiro/sobre
1211,Colégio Presbiteriano do Brás,São Paulo,1447063145,35187513,"SÃO PAULO
 ",http://www.qedu.org.br/escola/187346-colegio-presbiteriano-do-bras/sobre
1212,Escola Beit Yaacov,São Paulo,1447063135,35127991,"SÃO PAULO
 ",http://www.qedu.org.br/escola/192397-escola-beit-yaacov/sobre
1213,Colégio Filhinhos do Rei,São Paulo,1442767029,35813114,"SÃO PAULO
 ",http://qedu.org.br/escola/204293-colegio-filhinhos-do-rei/censo-escolar
1214,Editora Uirapuru,São Paulo,1442767021,35118936,"SÃO PAULO
 ",https://www.qedu.org.br/escola/193051-colegio-horizontes-uirapuru/censo-escolar
1215,Equipe,São Paulo,1442767008,35103445,"SÃO PAULO
 ",http://qedu.org.br/escola/193927-colegio-equipe/sobre
1216,Instituto Tsukimi de Aprendizagem e Resiliência,São Paulo,1442766996,,São Paulo,
1217,Didatiké,São Paulo,1442766970,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1218,Colégio Batista de Vila Mariana,São Paulo,1442766953,35155073,"SÃO PAULO
 ",https://www.qedu.org.br/escola/209068-colegio-batista-de-vila-mariana/sobre
1219,Colégio Nova Era,São Paulo,1442766933,35144241,"SÃO PAULO
 ",http://qedu.org.br/escola/186936-colegio-nova-era/sobre
1220,Colégio Eco,São Paulo,1442766929,35132329,"SÃO PAULO
 ",http://www.qedu.org.br/escola/186950-colegio-eco/sobre
1221,Núcleo Assistencial Irmão Alfredo,São Paulo,1442766925,,São Paulo,
1222,Alcides Yukio,São Paulo,1442766907,35003177,"SÃO PAULO
 ",http://www.qedu.org.br/escola/189152-alcides-boscolo-professor/censo-escolar
1223,Estética in Foco,São Paulo,1442766870,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1224,Escola Irmã Bernadette,São Paulo,1442766851,35301985,"SÃO PAULO
 ",https://www.qedu.org.br/escola/207493-escola-filantropica-irma-maria-bernadette-leme-monteiro/censo-escolar
1225,Colégio Carbonell,São Paulo,1442766835,35468400,"GUARULHOS
 ",https://www.qedu.org.br/escola/268227-carbonell-colegio/censo-escolar
1226,Colégio Advento,São Paulo,1442766812,35127231,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185550-la-salle-sao-paulo-colegio/sobre
1227,Curso Força,São Paulo,1442755691,35165116,"SÃO CARLOS
 ",http://www.qedu.org.br/escola/204849-colegio-interativo-curso-e/sobre
1228,Colégio Visconde,São Paulo,1442755690,35267028,"SÃO PAULO
 ",http://qedu.org.br/escola/199643-colegio-visconde/censo-escolar
1229,Aulas em Domicilio,São Paulo,1442755685,35154702,"SÃO PAULO
 ",http://qedu.org.br/escola/198815-eef-projeto-vida/sobre
1230,Instituto Eurofarma,São Paulo,1442755682,,São Paulo,
1231,Instituto de Ensino Gislaine Rosatti,São Paulo,1442755675,35159268,"SÃO PAULO
 ",http://qedu.org.br/escola/203286-ie-gislaine-rosati/sobre
1232,Centro Educacional Assistencial Profissionalizante,São Paulo,1442755670,35107165,"SÃO PAULO
 ",https://www.qedu.org.br/escola/185725-ce-pioneiro/censo-escolar
1233,Colégio Guaiaúna,São Paulo,1442755668,35171116,"SÃO PAULO
 ",http://qedu.org.br/escola/191193-colegio-guaiauna/censo-escolar
1234,ProfªRita,São Paulo,1442755667,35158525,"SÃO PAULO
 ",http://www.qedu.org.br/escola/208516-colegio-cerimar/sobre
1235,Escola de Educação Infantil Oliveira,São Paulo,1442755654,,"SÃO PAULO
 ",http://www.qedu.org.br/escola/262349-escola-de-educacao-infantil-frolich-e-oliveira/sobre
1236,Colégio Pentágono,São Paulo,1442755649,35137133,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190505-pentagono-colegio-unidade-morumbi/sobre
1237,Colégio Sincrona,São Paulo,1442755607,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1238,Colégio Guimarães Barbosa,São Paulo,1442755605,35161780,"SÃO PAULO
 ",http://www.qedu.org.br/escola/200504-colegio-guimaraes-barbosa/sobre
1239,Colégio Renascença,São Paulo,1442755601,35103780,"SÃO PAULO
 ",http://qedu.org.br/escola/194015-renascenca-hebraico-brasileiro-colegio-unidade-ii/sobre
1240,Escola Kodomo,São Paulo,1442755598,,"SÃO PAULO
 ",https://qedu.org.br/escola/206372-colegio-kodomo/sobre
1241,D.A.N.I,São Paulo,1442755595,35366353,"SÃO PAULO
 ",https://www.qedu.org.br/escola/206919-colegio-dani-ferrarezi/censo-escolar
1242,Colégio Piaget,São Paulo,1442755572,35135446,"SÃO PAULO
 ",https://www.qedu.org.br/escola/211699-colegio-piaget/censo-escolar
1243,Colégio Jesus Maria José,São Paulo,1442748773,35107499,"SÃO PAULO
 ",http://www.qedu.org.br/escola/186170-colegio-jesus-maria-jose/sobre
1244,Colégio Aquarela,São Paulo,1442748753,35177106,"SÃO PAULO
 ",http://www.qedu.org.br/escola/205951-colegio-aquarela/sobre
1245,Escola Estação Criança,São Paulo,1442748743,,"SÃO PAULO
 ",https://www.qedu.org.br/escola/206915-eei-estacao-crianca/sobre
1246,Companhia de Idiomas,São Paulo,1442748682,35127231,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185550-la-salle-sao-paulo-colegio/sobre
1247,Colégio Nova Meta,São Paulo,1442748675,35811105,"SÃO PAULO
 ",http://www.qedu.org.br/escola/195050-colegio-nova-meta/sobre
1248,Centro de Estudos Avançados e Treinamento/Trânsito,São Paulo,1442748674,35165116,"SÃO CARLOS
 ",http://www.qedu.org.br/escola/204849-colegio-interativo-curso-e/sobre
1249,Colégio Brida,São Paulo,1442748660,35154337,"SÃO PAULO
 ",https://www.qedu.org.br/escola/210357-colegio-brida/censo-escolar
1250,Colégio Santo Agostinho,São Paulo,1442748658,35106896,"SÃO PAULO
 ",http://www.qedu.org.br/escola/196803-colegio-santo-agostinho/sobre
1251,FAAP,São Paulo,1442748650,35141948,"SÃO PAULO
 ",http://qedu.org.br/escola/186653-em-faap-colegio/sobre
1252,Colégio Giusto Zonzini,São Paulo,1442748621,35143595,"SÃO PAULO
 ",http://qedu.org.br/escola/190603-colegio-giusto-zonzini/censo-escolar
1253,Colégio Cora Coralina,São Paulo,1442748608,35177258,"SÃO PAULO
 ",http://qedu.org.br/escola/206441-colegio-cora-coralina/sobre
1254,Liceu Santa Cruz,São Paulo,1442748584,35101539,"SÃO PAULO
 ",https://www.qedu.org.br/escola/188064-santa-cruz-liceu/sobre
1255,Instituto Muda,São Paulo,1442748569,35153631,"SÃO PAULO
 ",http://www.qedu.org.br/escola/192489-instituto-de-ensino-novo-dinamico/sobre
1256,Escola Mobile,São Paulo,1442748566,35165347,"SÃO PAULO
 ",https://qedu.org.br/escola/200167-colegio-mobile/sobre
1257,Instituto de Educação Beatíssima Virgem Maria,São Paulo,1442748559,35105961,"SÃO PAULO
 ",http://www.qedu.org.br/escola/208589-ie-beatissima-virgem-maria/sobre
1258,Escola NANE,São Paulo,1442748545,35106203,"SÃO PAULO
 ",http://www.qedu.org.br/escola/194718-escola-novo-angulo-novo-esquema/sobre
1259,Colégio Guilherme Dumont Villares,São Paulo,1442748523,35137397,"SÃO PAULO
 ",http://www.qedu.org.br/escola/187956-colegio-guilherme-dumont-villares/sobre
1260,Colégio Sussurana,São Paulo,1442748499,35522247,"SÃO PAULO
 ",http://www.qedu.org.br/escola/274997-sussurana-de-educacao-infantil-e-ensino-fundamental-colegio/sobre
1261,Colegio Acarimbamba,São Paulo,1442748482,35807771,"SÃO PAULO
 ",http://www.qedu.org.br/escola/195029-colegio-acarimbamba/sobre
1262,Colégio Franciscano Stella Maris,São Paulo,1442748450,35104644,"SÃO PAULO
 ",http://www.qedu.org.br/escola/197485-stella-maris-colegio-soc-instrucao-e-beneficencia/sobre
1263,Colégio de Vila Gustavo,São Paulo,1442748439,35238302,"SÃO PAULO
 ",http://www.qedu.org.br/escola/202394-cei-diret-vila-gustavo/sobre
1264,Colégio Master,São Paulo,1442748401,35307592,"SÃO PAULO
 ",https://www.qedu.org.br/escola/183089-colegio-solucao-master/censo-escolar
1265,Colégio Liliental,São Paulo,1442748397,35162425,"SÃO PAULO
 ",http://www.qedu.org.br/escola/205139-colegio-liliental/sobre
1266,Colégio Universidade Brasil,São Paulo,1442748396,35046024,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190470-escola-de-aplicacao-da-faculdade-de-educacao-da-usp/censo-escolar
1267,Agência do Ensino,São Paulo,1442747194,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1268,Colégio Santo Antonio de Lisboa,São Paulo,1442747189,35101904,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190272-colegio-santo-antonio-de-lisboa/sobre
1269,Colégio Amorim,São Paulo,1442747188,35808301,"SÃO PAULO
 ",http://www.qedu.org.br/escola/195041-amorim-colegio/sobre
1270,HEXAG MEDICINA,São Paulo,1442747182,42125901,"FLORIANÓPOLIS
 ",http://www.qedu.org.br/escola/217314-colegio-e-pre-vestibular-solucao-ltda-me/sobre
1271,ERH Clínica Multidisciplinar,São Paulo,1442747181,,São Paulo,
1272,GETUSSP,São Paulo,1442747169,35158525,"SÃO PAULO
 ",http://www.qedu.org.br/escola/208516-colegio-cerimar/sobre
1273,Prof. Thiago Rodrigo Carneiro,São Paulo,1442747164,,São Paulo,
1274,Escola de Ensino Fundamental Santa Catarina,São Paulo,1442747157,35101175,"SÃO PAULO
 ",http://www.qedu.org.br/escola/187598-colegio-santa-catarina/censo-escolar
1275,Colégio Rodrigues Dias,São Paulo,1442747145,35162498,"SÃO PAULO
 ",http://www.qedu.org.br/escola/203790-colegio-rodrigues-dias/sobre
1276,Happy Code,São Paulo,1442747138,35158525,"SÃO PAULO
 ",http://www.qedu.org.br/escola/208516-colegio-cerimar/sobre
1277,Profº Adhemar Real,São Paulo,1442741694,35047193,"CAMPINAS
 ",http://www.qedu.org.br/escola/187180-roque-de-magalhaes-barros-professor/sobre
1278,Colégio Agostiniano Mendel,São Paulo,1442741687,35136931,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185521-agostiniano-mendel-colegio/sobre
1279,Colégio Sir Isaac Newton,São Paulo,1442741675,35140880,"SÃO PAULO
 ",http://www.qedu.org.br/escola/193338-colegio-isaac-newton-sir/sobre
1280,Aprender Bem,São Paulo,1442741668,35295450,"SÃO PAULO
 ",http://qedu.org.br/escola/211114-colegio-aprendendo-a-aprender/sobre
1281,Santa Isabel,São Paulo,1442741638,35140788,"SÃO PAULO
 ",http://qedu.org.br/escola/193331-colegio-santa-isabel/sobre
1282,Colégio São Luís,São Paulo,1442741604,35103548,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190587-eeifm-sao-luis-colegio/sobre
1283,Instituto Madre Mazzarello,São Paulo,1442741585,35100663,"SÃO PAULO
 ",http://www.qedu.org.br/escola/191026-instituto-madre-mazzarello/sobre
1284,Colégio Nova Geração,São Paulo,1442741581,35126421,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185238-colegio-nova-geracao/sobre
1285,Colégio Aube Carran,São Paulo,1442741580,35129653,"SÃO PAULO
 ",http://qedu.org.br/escola/185426-colegio-aube-carran/sobre
1286,Eprofessor: Aprendizagem em Rede,São Paulo,1442741572,35002410,"SÃO PAULO
 ",http://www.qedu.org.br/escola/211713-theodomiro-emerique-professor/censo-escolar
1287,Colégio Madre Alix,São Paulo,1442741569,35104097,"SÃO PAULO
 ",http://www.qedu.org.br/escola/200640-colegio-madre-alix/sobre
1288,Colégio Santa Amália,São Paulo,1442741555,35107402,"SÃO PAULO
 ",http://www.qedu.org.br/escola/186165-colegio-santa-amalia/sobre
1289,Colégio FAAP São Paulo,São Paulo,1442741543,35141948,"SÃO PAULO
 ",http://qedu.org.br/escola/186653-em-faap-colegio/sobre
1290,Colégio Humboldt,São Paulo,1442741539,35107487,"SÃO PAULO
 ",http://qedu.org.br/escola/186169-colegio-humboldt/censo-escolar
1291,Colégio Santana,São Paulo,1442741529,35100493,"SÃO PAULO
 ",https://www.qedu.org.br/escola/189218-eeifm-santana-colegio/sobre
1292,Colégio Dominus,São Paulo,1442741522,35141264,"SÃO PAULO
 ",http://www.qedu.org.br/escola/182064-eeifm-dominus-vivendi-colegio/sobre
1293,Travessa Educacional,São Paulo,1442741520,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1294,Imperatriz Leopoldina,São Paulo,1442741504,35100420,"SÃO PAULO
 ",https://www.qedu.org.br/escola/195345-colegio-imperatriz-leopoldina/censo-escolar
1295,Escola Aprendendo na Arca,São Paulo,1442741464,35580867,"SÃO PAULO
 ",https://www.qedu.org.br/escola/281471-colegio-aprendendo-na-arca/sobre
1296,Daryus,São Paulo,1442741448,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1297,Escola Batista EBEI,São Paulo,1442741439,35153527,"SÃO PAULO
 ",http://qedu.org.br/escola/194931-batista-escola-de-educacao-integral-unidade-i/sobre
1298,Colégio Internacional Ítalo Brasileiro,São Paulo,1442741436,35106367,"SÃO PAULO
 ",http://www.qedu.org.br/escola/194830-internacional-italo-brasileiro-colegio/sobre
1299,Colégio Santo André,São Paulo,1442741376,35806298,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209128-colegio-santo-andre/sobre
1300,Colegio Marista Nossa Senhora da Glória SP,São Paulo,1442741368,35106616,"SÃO PAULO
 ",https://www.qedu.org.br/escola/193769-nossa-senhora-da-gloria-colegio-marista/censo-escolar
1301,Colégio Veruska,São Paulo,1442741319,35120406,"SÃO PAULO
 ",http://qedu.org.br/escola/185787-colegio-veruska/sobre
1302,Colégio Elyte,São Paulo,1442741295,35126895,"JANDIRA
 ",http://www.qedu.org.br/escola/185873-ie-elyte/sobre
1303,CONIB,São Paulo,1442741272,35910818,"SÃO PAULO
 ",http://www.qedu.org.br/escola/205820-sao-paulo-etec-de/sobre
1304,CCN Certificadora,São Paulo,1442735834,,São Paulo,
1305,Centro Universitário Ítalo Brasileiro,São Paulo,1442735828,35106367,"SÃO PAULO
 ",http://www.qedu.org.br/escola/194830-internacional-italo-brasileiro-colegio/sobre
1306,Colégio Canello Marques,São Paulo,1442735821,35071936,"SÃO PAULO
 ",https://www.qedu.org.br/escola/188825-colegio-canello-marques/censo-escolar
1307,Escolab3D,São Paulo,1442735803,35287581,"SÃO PAULO
 ",http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre
1308,Saber Aprendizes,São Paulo,1442735740,,"SÃO PAULO
 ",http://qedu.org.br/escola/276496-aprendiz-do-saber-escola-de-educacao-infantil-e-fundamental/sobre
1309,Colégio Objetivo VGP,São Paulo,1442735727,35300238,"VARGEM GRANDE PAULISTA
 ",http://qedu.org.br/escola/210712-nossa-senhora-da-misericordia-colegio/sobre
1310,Colégio Delta,São Paulo,1442735692,35119040,"SÃO PAULO
 ",http://www.qedu.org.br/escola/186799-colegio-delta/sobre
1311,Colégio Oswald de Andrade,São Paulo,1442735685,35037400,"SÃO PAULO
 ",http://www.qedu.org.br/escola/191823-oswald-de-andrade/censo-escolar
1312,Colégio Spinosa,São Paulo,1442735681,35140348,"SÃO PAULO
 ",http://www.qedu.org.br/escola/188227-spinosa-colegio-unidade-ii/sobre
1313,Recriarte,São Paulo,1442735678,35255555,"SÃO PAULO
 ",http://qedu.org.br/escola/190938-escola-recriarte/sobre
1314,Colégio Equipe,São Paulo,1442735647,35103445,"SÃO PAULO
 ",http://qedu.org.br/escola/193927-colegio-equipe/sobre
1315,Colégio Santa Marcelina,São Paulo,1442735636,35102805,"SÃO PAULO
 ",http://www.qedu.org.br/escola/200401-colegio-santa-marcelina/sobre
1316,Colégio Marconi,São Paulo,1442735634,35168543,"GUARULHOS
 ",http://www.qedu.org.br/escola/199450-colegio-guglielmo-marconi/sobre
1317,Agência Judaica,São Paulo,1442735612,35142980,"COTIA
 ",https://www.qedu.org.br/escola/209266-or-israel-college/censo-escolar
1318,Colégio Lourenço Castanho São Paulo,São Paulo,1442735611,,"SÃO PAULO
 ",https://webcache.googleusercontent.com/search?q=cache:Vhv_JGQl0sEJ:https://qedu.org.br/escola/185734-nova-lourenco-castanho-escola-unidade-iv/enem+&cd=3&hl=pt-BR&ct=clnk&gl=br
1319,Colégio Edificando Gerações,São Paulo,1442735600,35161724,"SÃO PAULO
 ",http://qedu.org.br/escola/200499-edificando-geracoes-colegio/sobre
1320,Escola Politeia,São Paulo,1442735585,35472128,"SÃO PAULO
 ",http://qedu.org.br/escola/268115-politeia-escola/sobre
1321,Colégio Alvorada,São Paulo,1442735571,35101965,"SÃO PAULO
 ",https://www.qedu.org.br/escola/190276-colegio-alvorada/censo-escolar
1322,Colégio Uninove,São Paulo,1442735564,35100808,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185756-nove-de-julho-colegio-unidade-i/sobre
1323,Colégio Discere Laboratum,São Paulo,1442735515,35144824,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185213-colegio-discere-laboratum/sobre
1324,Colégio Novo Alicerce,São Paulo,1442735485,35135461,"SÃO PAULO
 ",http://www.qedu.org.br/escola/181860-colegio-novo-alicerce/sobre
1325,Universidade Nove de Julho,São Paulo,1442735481,35100808,"SÃO PAULO
 ",http://www.qedu.org.br/escola/185756-nove-de-julho-colegio-unidade-i/sobre
1326,Centro Educacional Pioneiro,São Paulo,1442729114,35107165,"SÃO PAULO
 ",https://www.qedu.org.br/escola/185725-ce-pioneiro/censo-escolar
1327,SunPort Educação Bilingue e Multicultural,São Paulo,1442729076,35441739,"SÃO PAULO
 ",http://qedu.org.br/escola/214153-builders-educacao-bilingue/sobre
1328,Eduinvest,São Paulo,1442729064,35158525,"SÃO PAULO
 ",http://www.qedu.org.br/escola/208516-colegio-cerimar/sobre
1329,Colégio João 23,São Paulo,1442729058,35101597,"SÃO PAULO
 ",http://www.qedu.org.br/escola/192178-colegio-joao-xxiii/sobre
1330,Colégio Anglo Morumbi,São Paulo,1442729048,35153989,"SÃO PAULO
 ",http://www.qedu.org.br/escola/199695-anglo-morumbi-colegio/sobre
1331,Colégio Cristão da Penha,São Paulo,1442729034,35157405,"SÃO PAULO
 ",http://www.qedu.org.br/escola/184666-colegio-cristao-da-penha/sobre
1332,Colégio Conde Domingos SP,São Paulo,1442728987,35060574,"SÃO PAULO
 ",http://www.qedu.org.br/escola/187645-colegio-conde-domingos/sobre
1333,Colégio Albert Sabin,São Paulo,1442728982,35124199,"SÃO PAULO
 ",http://qedu.org.br/escola/189980-colegio-albert-sabin/sobre
1334,"Colégio São Judas, SP",São Paulo,1442728952,35101448,"SÃO PAULO
 ",http://www.qedu.org.br/escola/182148-colegio-sao-judas-tadeu/sobre
1335,Centro de Ensino da Posse,São Paulo,1442728941,35198833,"SANTO ANTÔNIO DE POSSE
 ",http://www.qedu.org.br/escola/197281-emef-mario-bianchi/censo-escolar
1336,Prof. Mauro,São Paulo,1442727234,35003554,"SÃO PAULO
 ",http://qedu.org.br/escola/192071-mauro-de-oliveira-professor/sobre
1337,Profª Thaís Moret,São Paulo,1442727233,,São Paulo,
1338,Profª Ana Tampellini,São Paulo,1442727231,,São Paulo,
1339,ASE Educacional,São Paulo,1442727227,35107165,"SÃO PAULO
 ",https://www.qedu.org.br/escola/185725-ce-pioneiro/censo-escolar
1340,Professores USP,São Paulo,1442727226,35046024,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190470-escola-de-aplicacao-da-faculdade-de-educacao-da-usp/censo-escolar
1341,Espaço A+ Osmar Salvadori F0,São Paulo,1442727158,35920587,"MACATUBA
 ",http://www.qedu.org.br/escola/209656-osmar-francisco-da-conceicao-doutor/censo-escolar
1342,Colégio Pentágono — Un. Morumbi,São Paulo,1442727156,35137133,"SÃO PAULO
 ",http://www.qedu.org.br/escola/190505-pentagono-colegio-unidade-morumbi/sobre
1343,Maria Rainha do Amor Escola Fundamental Educacional Infantil,São Paulo,1442722113,35300861,"SÃO PAULO
 ",https://www.qedu.org.br/escola/195374-eeief-maria-rainha-do-amor/censo-escolar
1344,Gracinha,São Paulo,1442722112,35104449,"SÃO PAULO
 ",http://www.qedu.org.br/escola/196823-escola-nossa-senhora-das-gracas/sobre
1345,CUJ,São Paulo,1442722107,35158483,"SÃO PAULO
 ",http://www.qedu.org.br/escola/208514-colegio-stockler/sobre
